rank,tier,priority_score,wallet_address,gmgn_url,label,twitter_username,twitter_name,target_sightings,target_tokens,target_share,total_sightings,token_count,sightings_per_day,days_since_last_seen,last_target_seen_iso,last_seen_iso,avg_target_mcap,avg_target_amount_usd,pnl_usd,win_rate,avg_buy_usd,sources,tags,provider_tags,token_tags,manual_rating,manual_notes
182,C,85.4,9ZFAgg82Ud8qxWmwyrEar2t5NWaWstcRFoKKJZEYQndS,https://gmgn.ai/sol/address/9ZFAgg82Ud8qxWmwyrEar2t5NWaWstcRFoKKJZEYQndS,Brookly,Peterbrookly,Brookly,1,1,0.500,2,2,2,1,2026-05-10T20:25:53.000Z,2026-05-11T05:34:06.310Z,28902,1,0,0,0.0002228195968034607,gmgn,renowned,kol|gmgn,,,
183,C,84.9,2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9,https://gmgn.ai/sol/address/2kv8X2a9bxnBM8NKLc6BBTX2z13GFNRL4oRotMUJRva9,GH0STEE,gh0stee,GH0STEE,1,1,1.000,1,1,1,3.9,2026-05-08T05:08:33.000Z,2026-05-08T08:07:33.545Z,91917,0,626.80237204961,0,0.000025749926687129796,gmgn,renowned,kol|axiom,bundler|paper_hands,,
184,C,84.3,7y3V87V9bRr5scKMHQD8KteuRALq7odQE6S4Rc2aW2vj,https://gmgn.ai/sol/address/7y3V87V9bRr5scKMHQD8KteuRALq7odQE6S4Rc2aW2vj,,,,1,1,1.000,1,1,1,3.9,2026-05-07T15:44:28.000Z,2026-05-08T08:07:17.477Z,79098,0,72.57522625105946,0,0.00008288528098755908,gmgn,smart_degen,,,,
185,C,84.3,FEawALsm5KT6UHySiFPDwAanvUWXzMadJSMxncdebnge,https://gmgn.ai/sol/address/FEawALsm5KT6UHySiFPDwAanvUWXzMadJSMxncdebnge,,,,1,1,1.000,1,1,1,1,2026-05-10T15:32:19.000Z,2026-05-11T05:33:34.162Z,4713,0,12.95704492134,0,0.00011723188858214087,gmgn,smart_degen,axiom,bundler|paper_hands,,
186,watch,84.1,2ZpoGvETk1nkGHEnqaGBHScYEsYXL3qeKWjZPFqx4Q7x,https://gmgn.ai/sol/address/2ZpoGvETk1nkGHEnqaGBHScYEsYXL3qeKWjZPFqx4Q7x,,,,0,0,0.000,4,3,4,3.9,,2026-05-08T08:08:34.966Z,,,16701.148196059108,0.333333,306.1775018189984,okx|gmgn,smart_money|smart_degen,,,,
187,C,83.6,6Y7VzR1dcfUyGCbUS9b5PiWhRCN7Hg5NAVUWV9gaMks1,https://gmgn.ai/sol/address/6Y7VzR1dcfUyGCbUS9b5PiWhRCN7Hg5NAVUWV9gaMks1,,,,1,1,1.000,1,1,1,3.9,2026-05-07T03:46:30.000Z,2026-05-08T08:07:21.501Z,131302,0,56.47584273967,0,0.0004661583507083615,gmgn,smart_degen,,,,
188,C,81.1,6VHxuussrXXhN8jTwgpQ8oKv6ZbXxqNCj2HfY6sq5SaL,https://gmgn.ai/sol/address/6VHxuussrXXhN8jTwgpQ8oKv6ZbXxqNCj2HfY6sq5SaL,CryptoLucky🔶,sol_lucky_,CryptoLucky🔶,1,1,0.500,2,2,2,3.9,2026-05-08T05:08:13.000Z,2026-05-08T08:07:33.545Z,91917,0,-29.91988992616,0,0.00007905984874460593,gmgn,renowned,kol|axiom|gmgn,paper_hands,,
189,C,79,E5XH7MGazFEkb2YrJAWYBFvjRr3tDE8kozWmvzR4Cyv2,https://gmgn.ai/sol/address/E5XH7MGazFEkb2YrJAWYBFvjRr3tDE8kozWmvzR4Cyv2,,,,1,1,1.000,1,1,1,3.9,2026-05-07T03:04:33.000Z,2026-05-08T08:07:21.503Z,131302,0,8.493049151,0,0.000281345799481554,gmgn,smart_degen,,,,
190,C,78,926XuvXosALA5EFivN16y4Ey8BY21kZYUXvhkNYBwYSj,https://gmgn.ai/sol/address/926XuvXosALA5EFivN16y4Ey8BY21kZYUXvhkNYBwYSj,trancey (bull mode),tranc3y,trancey (bull mode),1,1,1.000,1,1,1,1,2026-05-10T12:32:10.000Z,2026-05-11T05:33:22.267Z,119579,0,7.51445698478869,0,0.0007837075005860159,gmgn,renowned,kol|gmgn,bundler,,
191,C,77.4,65kmABTfVidnwPzs5bfeyptpM2ewkkNewnJK6QwUSKXE,https://gmgn.ai/sol/address/65kmABTfVidnwPzs5bfeyptpM2ewkkNewnJK6QwUSKXE,,,,1,1,1.000,1,1,1,1,2026-05-10T05:34:02.000Z,2026-05-11T05:33:22.265Z,119579,0,-83.08425685592,0,0.0007236025110334897,gmgn,smart_degen,axiom|padre,bundler|paper_hands,,
192,C,77.4,9MoWnd3zSxTLnZothvSzosL6YAaiSaiJ1dzrWhbYECEF,https://gmgn.ai/sol/address/9MoWnd3zSxTLnZothvSzosL6YAaiSaiJ1dzrWhbYECEF,,,,1,1,1.000,1,1,1,1,2026-05-10T18:11:45.000Z,2026-05-11T05:33:34.162Z,4713,0,-1.81531058667,0,0.000985647586176867,gmgn,smart_degen,,paper_hands,,
193,C,77.4,EeHJn4X6FUGEbcjJE5ysB8usN8C7AY75Ej8TrvfgPRrZ,https://gmgn.ai/sol/address/EeHJn4X6FUGEbcjJE5ysB8usN8C7AY75Ej8TrvfgPRrZ,,,,1,1,1.000,1,1,1,1,2026-05-10T13:59:20.000Z,2026-05-11T05:33:22.265Z,119579,0,-295.37602824896,0,0.0008337588401974785,gmgn,smart_degen,gmgn,,,
194,C,76.5,41uh7g1DxYaYXdtjBiYCHcgBniV9Wx57b7HU7RXmx1Gg,https://gmgn.ai/sol/address/41uh7g1DxYaYXdtjBiYCHcgBniV9Wx57b7HU7RXmx1Gg,Lowskii,Lowskii_gg,Lowskii,1,1,0.500,2,2,0.69,1,2026-05-10T08:29:24.000Z,2026-05-11T05:33:22.266Z,119579,0,0.79745109493,0,0.0012328276642174798,gmgn,renowned,kol|axiom|bullx,paper_hands,,
195,C,73.8,9St6ETbe3CFitw6UNSd8kg7kZ6STXy71wEGiERqQj89U,https://gmgn.ai/sol/address/9St6ETbe3CFitw6UNSd8kg7kZ6STXy71wEGiERqQj89U,Trench Guerilla,trenchguerilla,Trench Guerilla,1,1,1.000,1,1,1,3.9,2026-05-06T23:52:36.000Z,2026-05-08T08:07:13.503Z,148507,0,8.08979063925,0,0.000016053296146598953,gmgn,renowned,kol|axiom|gmgn|padre,paper_hands,,
196,C,73.1,2v178XLeug7gpPXrU7LWmqizMBxjtRXkfWZ8iQA4P47i,https://gmgn.ai/sol/address/2v178XLeug7gpPXrU7LWmqizMBxjtRXkfWZ8iQA4P47i,,,,1,1,1.000,1,1,1,3.9,2026-05-07T06:36:24.000Z,2026-05-08T08:07:21.499Z,131302,0,-356.4318214992021,0,0.0006627807152415026,gmgn,smart_degen,,,,
197,C,73.1,7Ff9bMujNXue8obmfdBYcn32mB5G1tSSk8ffUJ1J8Roq,https://gmgn.ai/sol/address/7Ff9bMujNXue8obmfdBYcn32mB5G1tSSk8ffUJ1J8Roq,,,,1,1,1.000,1,1,1,3.9,2026-05-07T00:22:48.000Z,2026-05-08T08:07:13.502Z,148507,0,-13.96809108126,0,0.000011537992221046045,gmgn,smart_degen,,,,
198,C,73.1,F1924TJoDHGfgPACmZsKQwAuda8keVvBzqVWRgr7JHaD,https://gmgn.ai/sol/address/F1924TJoDHGfgPACmZsKQwAuda8keVvBzqVWRgr7JHaD,,,,1,1,1.000,1,1,1,3.9,2026-05-07T10:48:38.000Z,2026-05-08T08:07:17.475Z,79098,0,-1.73543875289,0,0.000054436894506669384,gmgn,smart_degen,,,,
199,C,73.1,FbiBbTBP2Vs7b3j74eBsAYFpxWms11m23DeGmYcc8Yoo,https://gmgn.ai/sol/address/FbiBbTBP2Vs7b3j74eBsAYFpxWms11m23DeGmYcc8Yoo,,,,1,1,1.000,1,1,1,3.9,2026-05-07T18:06:25.000Z,2026-05-08T08:07:17.474Z,79098,126,0,0,0.00028360609664591034,gmgn,smart_degen,,,,
200,C,73.1,GZVSEAajExLJEvACHHQcujBw7nJq98GWUEZtood9LM9b,https://gmgn.ai/sol/address/GZVSEAajExLJEvACHHQcujBw7nJq98GWUEZtood9LM9b,,,,1,1,1.000,1,1,1,3.9,2026-05-07T02:36:20.000Z,2026-05-08T08:07:21.502Z,131302,0,-123.65077098468,0,0.0002660980633067725,gmgn,smart_degen,,,,
201,C,73.1,GkCG1KQcTuhHg8BBiqM2Xbyo4cWKSet4Vv6KmKvBHddz,https://gmgn.ai/sol/address/GkCG1KQcTuhHg8BBiqM2Xbyo4cWKSet4Vv6KmKvBHddz,,,,1,1,1.000,1,1,1,3.9,2026-05-08T06:56:07.000Z,2026-05-08T08:07:27.488Z,139810,558,0,0,0.0000979736503421318,gmgn,smart_degen,,,,
202,C,73.1,Gkeqgh2SwRNBVrAKKvQ8QeUqD7GQzjrR6uqnHdtFb3kG,https://gmgn.ai/sol/address/Gkeqgh2SwRNBVrAKKvQ8QeUqD7GQzjrR6uqnHdtFb3kG,,,,1,1,1.000,1,1,1,3.9,2026-05-08T00:02:40.000Z,2026-05-08T08:07:13.501Z,148507,0,-917.2213324647,0,0.0003606615478224694,gmgn,smart_degen,,,,
203,C,72.7,14HDbSrjCJKgwCXDBXv8PGRGFaLrAqDBq2mCwSA46q5x,https://gmgn.ai/sol/address/14HDbSrjCJKgwCXDBXv8PGRGFaLrAqDBq2mCwSA46q5x,0xMistBlade 🗡️,0xMistBlade,0xMistBlade 🗡️,1,1,1.000,1,1,1,3.9,2026-05-07T16:26:15.000Z,2026-05-08T08:07:17.477Z,79098,0,4.764316630490517,0,0.00017273279716154526,gmgn,renowned,kol|axiom|padre,paper_hands,,
204,C,68.1,4EsY8HQB4Ak65diFrSHjwWhKSGC8sKmnzyusM993gk2w,https://gmgn.ai/sol/address/4EsY8HQB4Ak65diFrSHjwWhKSGC8sKmnzyusM993gk2w,prosciutto,prosciuttosol,prosciutto,1,1,1.000,1,1,1,3.9,2026-05-08T02:40:03.000Z,2026-05-08T08:07:17.477Z,79098,0,-67.32241373364,0,0.00016519642492601744,gmgn,renowned,kol|trojan,,,
205,C,68.1,CQYM8VNri7UaQjoJF5bHudtUoMA5L1iPzrugy7ixAPHt,https://gmgn.ai/sol/address/CQYM8VNri7UaQjoJF5bHudtUoMA5L1iPzrugy7ixAPHt,,,,1,1,0.500,2,2,2,3.9,2026-05-08T08:04:43.000Z,2026-05-08T08:08:34.962Z,92363,0,0,,,okx,smart_money,,,,
206,watch,66.1,dmuXAmcXJcdNuK264vsJQNBpVBPAx4JLujBzBMahJ6C,https://gmgn.ai/sol/address/dmuXAmcXJcdNuK264vsJQNBpVBPAx4JLujBzBMahJ6C,,,,0,0,0.000,5,3,5,3.9,,2026-05-08T08:07:29.512Z,,,6936.831476563089,0,0.002265187965317354,gmgn,smart_degen,,,,
207,watch,65.4,CbpnbXAD9PUAwVcYjHY96qooq6eNnoLiZzif766gqLPH,https://gmgn.ai/sol/address/CbpnbXAD9PUAwVcYjHY96qooq6eNnoLiZzif766gqLPH,,,,0,0,0.000,6,6,6,3.9,,2026-05-08T08:07:29.508Z,,,518.955930529,0,0.0004660218253344352,gmgn,smart_degen,,,,
208,watch,62.8,9fpUmh3Tv3UCdeHLyq3o4QhkTBu5XAbEiKP9FtGaSndb,https://gmgn.ai/sol/address/9fpUmh3Tv3UCdeHLyq3o4QhkTBu5XAbEiKP9FtGaSndb,,,,0,0,0.000,5,5,5,3.9,,2026-05-08T08:07:29.513Z,,,415.00601635484,0,0.00024471552970897965,gmgn,smart_degen,,,,
209,watch,62.2,8MaVa9kdt3NW4Q5HyNAm1X5LbR8PQRVDc1W8NMVK88D5,https://gmgn.ai/sol/address/8MaVa9kdt3NW4Q5HyNAm1X5LbR8PQRVDc1W8NMVK88D5,Daumen,daumenxyz,Daumen,0,0,0.000,2,2,2,3.9,,2026-05-08T08:08:34.984Z,,,3497.0565837474496,0.5882350000000001,158.95917037436507,gmgn|okx,renowned|kol,kol|axiom|photon|padre|wash_trader,paper_hands,,
210,C,61.4,4xHVLyhMdUT3CTFPsNbnyWJV2HBhsoNrJTRGLSWg6sn2,https://gmgn.ai/sol/address/4xHVLyhMdUT3CTFPsNbnyWJV2HBhsoNrJTRGLSWg6sn2,,,,1,1,1.000,1,1,1,3.9,2026-05-08T08:06:22.000Z,2026-05-08T08:08:34.962Z,90686,0,10.258953808310235,,,okx,smart_money,,,,
211,watch,59.4,6S8GezkxYUfZy9JPtYnanbcZTMB87Wjt1qx3c6ELajKC,https://gmgn.ai/sol/address/6S8GezkxYUfZy9JPtYnanbcZTMB87Wjt1qx3c6ELajKC,nyhrox,nyhrox,nyhrox,0,0,0.000,4,4,1.37,1,,2026-05-11T05:33:58.285Z,,,23509.812328544813,0,0.0002455514779119581,gmgn|okx,renowned|kol,kol|axiom|photon|padre,bundler|paper_hands|transfer_in,,
212,C,57.6,4squjFiJK5dVjtEoffN8v54sw6svz6BLBKCsWMxVhng3,https://gmgn.ai/sol/address/4squjFiJK5dVjtEoffN8v54sw6svz6BLBKCsWMxVhng3,,,,1,1,1.000,1,1,1,3.9,2026-05-08T07:58:28.000Z,2026-05-08T08:08:34.963Z,107278,0,1.5792860870600525,,,okx,smart_money,,,,
213,C,56.2,E32nTae9AVhBUGQ2KrFLKhxrsuq5H344X6g5jkiyJFGJ,https://gmgn.ai/sol/address/E32nTae9AVhBUGQ2KrFLKhxrsuq5H344X6g5jkiyJFGJ,,,,1,1,1.000,1,1,1,3.9,2026-05-08T07:59:09.000Z,2026-05-08T08:08:34.963Z,110482,0,0.5076768258899421,,,okx,smart_money,,,,
214,C,55.1,3dGhWKFHY87xFtcbZGjNx6iuFWFh9P6oiJLADgRAj51x,https://gmgn.ai/sol/address/3dGhWKFHY87xFtcbZGjNx6iuFWFh9P6oiJLADgRAj51x,,,,1,1,1.000,1,1,1,3.9,2026-05-08T08:04:43.000Z,2026-05-08T08:08:34.962Z,92560,0,0,,,okx,smart_money,,,,
215,C,55.1,4RpCJpRJ78jEfP8hg9fUidJsucd9YeKft1XZMVgEbvfZ,https://gmgn.ai/sol/address/4RpCJpRJ78jEfP8hg9fUidJsucd9YeKft1XZMVgEbvfZ,,,,1,1,1.000,1,1,1,4,2026-05-08T07:37:50.000Z,2026-05-08T07:42:47.828Z,146249,0,0,,,okx,smart_money,,,,
216,C,55.1,64ozFG3EAKga6PugXZjdoU5uvbNiN3r1RsTodJvpBShH,https://gmgn.ai/sol/address/64ozFG3EAKga6PugXZjdoU5uvbNiN3r1RsTodJvpBShH,,,,1,1,1.000,1,1,1,4,2026-05-08T07:40:13.000Z,2026-05-08T07:42:47.827Z,148473,0,0,,,okx,smart_money,,,,
217,C,55.1,DHJKGYTnnwJWWCfZswp9YVwmRPnqqtmGeKEZmzyAytK,https://gmgn.ai/sol/address/DHJKGYTnnwJWWCfZswp9YVwmRPnqqtmGeKEZmzyAytK,,,,1,1,1.000,1,1,1,3.9,2026-05-08T08:00:14.000Z,2026-05-08T08:08:34.962Z,107537,0,0,,,okx,smart_money,,,,
218,watch,50.9,2NpY9ZuJausmP5yX614Sjm1bDsEsZwVkikfqA2rLLnTG,https://gmgn.ai/sol/address/2NpY9ZuJausmP5yX614Sjm1bDsEsZwVkikfqA2rLLnTG,皇弟弟爱地球🌏,huangdidiaisol,皇弟弟爱地球🌏,0,0,0.000,4,3,1.37,1,,2026-05-11T05:33:46.297Z,,,821.7544022899186,0,0.0016509953512853183,gmgn|okx,renowned|kol,kol|axiom|gmgn,paper_hands|bundler|diamond_hands,,
219,watch,48.8,4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk,https://gmgn.ai/sol/address/4BdKaxN8G6ka4GYtQQWk4G4dZRUTX2vQH9GcXdBREFUk,jijo,jijo_exe,jijo,0,0,0.000,3,3,1.03,1,,2026-05-11T05:33:58.285Z,,,1043.37841193684,0,0.0002469553522009302,gmgn|okx,renowned|kol,kol|photon|padre,bundler|diamond_hands|paper_hands,,
220,watch,47.3,sAdNbe1cKNMDqDsa4npB3TfL62T14uAo2MsUQfLvzLT,https://gmgn.ai/sol/address/sAdNbe1cKNMDqDsa4npB3TfL62T14uAo2MsUQfLvzLT,Ethan Prosper,pr6spr,Ethan Prosper,0,0,0.000,2,2,0.68,1,,2026-05-11T05:33:46.297Z,,,3720.8987003456978,0,0.010442385738834851,gmgn|okx,renowned|kol,kol|axiom|gmgn|padre,bundler|transfer_in|paper_hands,,
221,watch,46.6,QSS5Dc5BA9v8PHwxYkaN7v93zsPbB83fP8wVKPzWdsG,https://gmgn.ai/sol/address/QSS5Dc5BA9v8PHwxYkaN7v93zsPbB83fP8wVKPzWdsG,,,,0,0,0.000,3,3,3,1,,2026-05-11T05:33:58.284Z,,,334.16593571787,0,0.0006733232698656706,gmgn,smart_degen,axiom|bullx,bundler|paper_hands,,
222,watch,46,GExMN6extw7JyLe3jENEZwULyyqbDxxcrfF44VFLvFAT,https://gmgn.ai/sol/address/GExMN6extw7JyLe3jENEZwULyyqbDxxcrfF44VFLvFAT,,,,0,0,0.000,3,3,3,3.9,,2026-05-08T08:07:19.483Z,,,1404.22563806802,0,0.00008242237968519613,gmgn,smart_degen,,,,
223,watch,45.1,6M5RVmYj4FNoiYKbcXKo8QV3soYwCfbTY8VwAemCvjMq,https://gmgn.ai/sol/address/6M5RVmYj4FNoiYKbcXKo8QV3soYwCfbTY8VwAemCvjMq,,,,0,0,0.000,3,3,3,3.9,,2026-05-08T08:07:19.485Z,,,1011.3384542924522,0,0.0008171454952438246,gmgn,smart_degen,,,,
224,watch,44.5,S2CR7k6qj1Crydn1cT2atLs55tH6nww9KbU2znmnrCC,https://gmgn.ai/sol/address/S2CR7k6qj1Crydn1cT2atLs55tH6nww9KbU2znmnrCC,,,,0,0,0.000,3,3,3,1,,2026-05-11T05:33:58.284Z,,,147.70163069056,0,0.00010346522285276332,gmgn,smart_degen,axiom,bundler|paper_hands,,
225,watch,43.6,21vaYvUUE4ND1bVt1tcGiXUXHe41w53unQd5DmCDeLZ1,https://gmgn.ai/sol/address/21vaYvUUE4ND1bVt1tcGiXUXHe41w53unQd5DmCDeLZ1,,,,0,0,0.000,3,3,3,1,,2026-05-11T05:33:58.283Z,,,105.08363239432,0,0.0002098872935458815,gmgn,smart_degen,photon,bundler|paper_hands,,
226,watch,43.1,C2mWdShpLXntVSq4eaPWLh2pauYwGgy1dfbcRwizJWhq,https://gmgn.ai/sol/address/C2mWdShpLXntVSq4eaPWLh2pauYwGgy1dfbcRwizJWhq,,,,0,0,0.000,3,3,3,1,,2026-05-11T05:33:58.284Z,,,87.31629147558,0,0.00009992037562736322,gmgn,smart_degen,axiom,bundler|paper_hands,,
227,watch,42.5,5aLiNkoAwoWwjp1CpBhrAmPpRGTk4igx9wLoe2TuYkhe,https://gmgn.ai/sol/address/5aLiNkoAwoWwjp1CpBhrAmPpRGTk4igx9wLoe2TuYkhe,,,,0,0,0.000,2,2,0.69,1,,2026-05-11T05:33:46.293Z,,,85.07785407642,0,0.006725413924482849,okx|gmgn,smart_money|smart_degen,axiom,,,
228,watch,41.4,BxZk2CYQ6xph23GfJqYpy9tnw4RTjXY9MCvC2UPz8i81,https://gmgn.ai/sol/address/BxZk2CYQ6xph23GfJqYpy9tnw4RTjXY9MCvC2UPz8i81,,,,0,0,0.000,4,4,4,1,,2026-05-11T05:33:58.279Z,,,0,0,0.0006419914264659622,gmgn,smart_degen,,bundler,,
229,watch,39.9,DCwFPkDf6VorxNE1cxR38Fxc18mFq7uPweU735FwyzAj,https://gmgn.ai/sol/address/DCwFPkDf6VorxNE1cxR38Fxc18mFq7uPweU735FwyzAj,,,,0,0,0.000,2,2,2,1,,2026-05-11T05:33:46.292Z,,,1217.04160018776,0,0.0005194763850058326,gmgn,smart_degen,axiom|trojan,paper_hands,,
230,watch,39.1,763QnBSvcF8QqhbcxnyoQQPA5YEfqghyjK3tM84twao9,https://gmgn.ai/sol/address/763QnBSvcF8QqhbcxnyoQQPA5YEfqghyjK3tM84twao9,,,,0,0,0.000,2,2,2,1,,2026-05-11T05:33:58.284Z,,,871.63785078275,0,0.0008040533770678874,gmgn,smart_degen,axiom,bundler|paper_hands,,
231,watch,38.8,FRfG5nMXphNWrCzSJzr3WT62EuitqpGfqSztLaXrcLq6,https://gmgn.ai/sol/address/FRfG5nMXphNWrCzSJzr3WT62EuitqpGfqSztLaXrcLq6,,,,0,0,0.000,3,3,3,3.9,,2026-05-08T08:07:29.507Z,,,87.14648793846652,0,0.0028852491648734637,gmgn,smart_degen,,,,
232,watch,38.7,EQwDGm25FpQpMTT1a3YWBFKAP3We3eV72MsaLVifCS4g,https://gmgn.ai/sol/address/EQwDGm25FpQpMTT1a3YWBFKAP3We3eV72MsaLVifCS4g,,,,0,0,0.000,4,2,1.37,1,,2026-05-11T05:33:46.290Z,,,5355.02721010867,0,0.004063374996251093,gmgn,smart_degen,axiom,bundler,,
233,watch,38.7,J485YzQjuJPLYoFEYjrjxd7NAoLHTiyUU63JwK7kLxRr,https://gmgn.ai/sol/address/J485YzQjuJPLYoFEYjrjxd7NAoLHTiyUU63JwK7kLxRr,金狗挖掘机 | 0xDavid,HunterOnlyETH,金狗挖掘机 | 0xDavid,0,0,0.000,1,1,1,3.9,,2026-05-08T08:08:34.984Z,,,5373.393932136638,0.416667,42.61550925379553,gmgn|okx,renowned|kol,kol|axiom|gmgn,bundler,,
234,watch,38.2,HrtVLLCBM4LXfRGLGcXBYvkkJ9xnbiJ3ob1MxKdmNs7o,https://gmgn.ai/sol/address/HrtVLLCBM4LXfRGLGcXBYvkkJ9xnbiJ3ob1MxKdmNs7o,,,,0,0,0.000,3,3,3,3.9,,2026-05-08T08:07:29.509Z,,,70.8023371643,0,0.00002208447521397056,gmgn,smart_degen,,,,
235,watch,37.7,BPmu618RfhC7BV2npKzGmHHBrpf3U1oLJRtvhgJkWr8b,https://gmgn.ai/sol/address/BPmu618RfhC7BV2npKzGmHHBrpf3U1oLJRtvhgJkWr8b,,,,0,0,0.000,2,2,2,3.9,,2026-05-08T08:07:29.507Z,,,2716.8137410145046,0,0.00241047856769137,gmgn,smart_degen,,,,
236,watch,37.6,DYtENvddf6yaTxnFnviZBa5UjXqy41xbY9CsW3bQujm2,https://gmgn.ai/sol/address/DYtENvddf6yaTxnFnviZBa5UjXqy41xbY9CsW3bQujm2,,,,0,0,0.000,3,2,1.03,1,,2026-05-11T05:33:46.291Z,,,19904.3532929845,0,0.0008798169935981035,gmgn,smart_degen,axiom,bundler,,
237,watch,37.6,FVugAb5gWb6vz3zUppNoC5gWvbVA5xDGKnL9tTmTnxsU,https://gmgn.ai/sol/address/FVugAb5gWb6vz3zUppNoC5gWvbVA5xDGKnL9tTmTnxsU,,,,0,0,0.000,3,2,1.03,1,,2026-05-11T05:33:46.294Z,,,14566.642629955939,0,0.00006851851369481752,gmgn,smart_degen,fomo,bundler,,
238,watch,37.1,HqY8GmpGzNGU5yPmbjhKVBtKrNT1k4dG3LXfT1zkPqqk,https://gmgn.ai/sol/address/HqY8GmpGzNGU5yPmbjhKVBtKrNT1k4dG3LXfT1zkPqqk,,,,0,0,0.000,2,2,2,3.9,,2026-05-08T08:07:29.513Z,,,2172.8818038250115,0,0.00135382503570206,gmgn,smart_degen,,,,
239,watch,37,A4f83euLT4sMDiE2xWfmLD7TZD2uZyoToCNLqubxLGrf,https://gmgn.ai/sol/address/A4f83euLT4sMDiE2xWfmLD7TZD2uZyoToCNLqubxLGrf,,,,0,0,0.000,2,2,2,1,,2026-05-11T05:33:58.279Z,,,397.72653676746,0,0.0008546226513904505,gmgn,smart_degen,gmgn,bundler,,
240,watch,36.6,CyehxLtyh7RNcLLKHbLLvsR1ap3hAJ5Lvei1GH3Wm6Li,https://gmgn.ai/sol/address/CyehxLtyh7RNcLLKHbLLvsR1ap3hAJ5Lvei1GH3Wm6Li,,,,0,0,0.000,2,2,2,1,,2026-05-11T05:33:46.296Z,,,332.80139563142,0,0.004084971802000953,gmgn,smart_degen,axiom,paper_hands|bundler,,
241,watch,35.9,FFEjC9MHhpQViBPrD2iU6LmV2hEigyhLJaL7MZUZzyD4,https://gmgn.ai/sol/address/FFEjC9MHhpQViBPrD2iU6LmV2hEigyhLJaL7MZUZzyD4,,,,0,0,0.000,2,2,2,1,,2026-05-11T05:33:46.296Z,,,255.67419858928,0,0.010539485814375969,gmgn,smart_degen,axiom,bundler|paper_hands,,
242,watch,33.3,5yz7Q9VAt1Qjrs82YgXyzHYAEiQTMpgJtSmUkAsapLhH,https://gmgn.ai/sol/address/5yz7Q9VAt1Qjrs82YgXyzHYAEiQTMpgJtSmUkAsapLhH,,,,0,0,0.000,2,2,2,1,,2026-05-11T05:33:58.285Z,,,93.8157269876,0,0.0005109333681792233,gmgn,smart_degen,axiom,bundler|transfer_in|paper_hands,,
243,watch,33.2,5kvMnk65YdpDSURKdLhJXYMSZLLg6Uia1aGEr9PhoZnf,https://gmgn.ai/sol/address/5kvMnk65YdpDSURKdLhJXYMSZLLg6Uia1aGEr9PhoZnf,,,,0,0,0.000,2,2,2,1,,2026-05-11T05:33:58.283Z,,,89.35036892182,0,0.00010731692822290572,gmgn,smart_degen,axiom,bundler|paper_hands,,
244,watch,32.5,9yYya3F5EJoLnBNKW6z4bZvyQytMXzDcpU5D6yYr4jqL,https://gmgn.ai/sol/address/9yYya3F5EJoLnBNKW6z4bZvyQytMXzDcpU5D6yYr4jqL,Loopierr,Loopierr,Loopierr,0,0,0.000,1,1,0.34,1,,2026-05-11T05:33:16.183Z,,,7733.033738342298,0,0.0016861802947422434,gmgn|okx,renowned|kol,kol|photon|gmgn|padre,bundler|transfer_in|diamond_hands,,
245,watch,31.5,GLsbNnV9QBmVgppCitN5pM8MjW8ncuRaogxHvTxfVfki,https://gmgn.ai/sol/address/GLsbNnV9QBmVgppCitN5pM8MjW8ncuRaogxHvTxfVfki,,,,0,0,0.000,2,1,0.68,1,,2026-05-11T05:33:46.295Z,,,5806.967070144,0,0.0006997124702824228,gmgn,smart_degen,axiom,diamond_hands,,
246,watch,30.6,4uCT4g7YHH4xxfmfNfKUDenwGrRNGoZ9Ay1XFxfUGhQG,https://gmgn.ai/sol/address/4uCT4g7YHH4xxfmfNfKUDenwGrRNGoZ9Ay1XFxfUGhQG,Esee,Esee06257,Esee,0,0,0.000,3,3,1.03,1,,2026-05-11T05:33:46.296Z,,,-2.96325283932,0,0.00130232382746017,gmgn|okx,renowned|kol,kol|axiom|gmgn|padre|wash_trader,bundler|paper_hands,,
247,watch,30.3,27derCF4w2y37zhSzA7DEQDo2MeXYbmuYdvrPMbzEmyG,https://gmgn.ai/sol/address/27derCF4w2y37zhSzA7DEQDo2MeXYbmuYdvrPMbzEmyG,,,,0,0,0.000,2,2,2,1,,2026-05-11T05:33:58.284Z,,,29.47524048623,0,0.001421376976778797,gmgn,smart_degen,fresh_wallet|padre,,,
248,watch,30.1,84k6bNa3WSEzifavuSnBRQRK9hJHEcZBLbihC6ZsYkSq,https://gmgn.ai/sol/address/84k6bNa3WSEzifavuSnBRQRK9hJHEcZBLbihC6ZsYkSq,,,,0,0,0.000,2,2,2,1,,2026-05-11T05:33:50.227Z,,,26.37270653564,0,0.00009895151463670664,gmgn,smart_degen,axiom,paper_hands|bundler,,
249,watch,28.7,BdpYHJy6tvvQF2yaSiyA1DYJSVdsiQnV8TNX7ruk5AJM,https://gmgn.ai/sol/address/BdpYHJy6tvvQF2yaSiyA1DYJSVdsiQnV8TNX7ruk5AJM,,,,0,0,0.000,2,2,2,1,,2026-05-11T05:33:58.283Z,,,15.08397232655,0,0.00014806574294898815,gmgn,smart_degen,axiom,bundler|paper_hands,,
