rank,tier,priority_score,wallet_address,gmgn_url,label,twitter_username,twitter_name,target_sightings,target_tokens,target_share,total_sightings,token_count,sightings_per_day,days_since_last_seen,last_target_seen_iso,last_seen_iso,avg_target_mcap,avg_target_amount_usd,pnl_usd,win_rate,avg_buy_usd,sources,tags,provider_tags,token_tags,manual_rating,manual_notes
88,C,112.6,A1wRAMAQLuCfAQNUjnAa2Q4Ci5CQv2fGmhtSooGvBAaW,https://gmgn.ai/sol/address/A1wRAMAQLuCfAQNUjnAa2Q4Ci5CQv2fGmhtSooGvBAaW,,,,1,1,0.333,3,3,3,1,2026-05-10T21:16:56.000Z,2026-05-11T05:33:46.296Z,119579,0,341.50037200726,0,0.008937371955476626,gmgn,smart_degen,axiom|bullx,bundler|paper_hands,,
89,C,112.4,5d3jQcuUvsuHyZkhdp78FFqc7WogrzZpTtec1X9VNkuE,https://gmgn.ai/sol/address/5d3jQcuUvsuHyZkhdp78FFqc7WogrzZpTtec1X9VNkuE,tech,technoviking46,tech,1,1,1.000,1,1,0.34,1,2026-05-10T20:09:06.000Z,2026-05-11T05:34:06.307Z,28902,0,342.79902738944,0,0.000019719766259123653,okx|gmgn,kol|smart_degen|renowned,kol|axiom|photon|bullx|padre,bundler|paper_hands,,
90,C,111.6,Bi4rd5FH5bYEN8scZ7wevxNZyNmKHdaBcvewdPFxYdLt,https://gmgn.ai/sol/address/Bi4rd5FH5bYEN8scZ7wevxNZyNmKHdaBcvewdPFxYdLt,theo,theonomix,theo,1,1,0.333,3,3,1.03,1,2026-05-07T02:29:37.000Z,2026-05-11T05:33:58.285Z,131302,0,308.25565491102,0,0.000004738997311845781,gmgn|okx,renowned|kol,kol|axiom|photon|gmgn|padre,bundler|paper_hands|sniper,,
91,B,111.5,6Dt9J7TXM3eqyQBAZMbGJCV6VsP13WVStwPJnLPFtw2Y,https://gmgn.ai/sol/address/6Dt9J7TXM3eqyQBAZMbGJCV6VsP13WVStwPJnLPFtw2Y,,,,2,2,0.667,3,3,1.03,1,2026-05-10T20:52:08.000Z,2026-05-11T05:33:34.162Z,15143,0,28.97886213525,0,0.0002939344568655696,gmgn,smart_degen,trojan|gmgn,bundler,,
92,B,111.3,J6kZjUBfRhgxXjcQWTyLJimZWKHT4evAJSmhN9rHAQkr,https://gmgn.ai/sol/address/J6kZjUBfRhgxXjcQWTyLJimZWKHT4evAJSmhN9rHAQkr,,,,2,2,0.667,3,3,1.03,1,2026-05-10T15:32:19.000Z,2026-05-11T05:33:34.161Z,15143,0,26.60729254129,0,0.00011558134421095285,gmgn,smart_degen,axiom,bundler|paper_hands,,
93,C,111.2,98T65wcMEjoNLDTJszBHGZEX75QRe8QaANXokv4yw3Mp,https://gmgn.ai/sol/address/98T65wcMEjoNLDTJszBHGZEX75QRe8QaANXokv4yw3Mp,Leck,LeckSol,Leck,1,1,0.500,2,2,0.69,1,2026-05-10T20:13:16.000Z,2026-05-11T05:34:06.311Z,28902,0,523.04586410608,0,0.00005611927259681116,okx|gmgn,kol|renowned,kol|axiom|bullx|padre,paper_hands|bundler,,
94,C,110.8,3QELEdPBiyzRVNh2bnKbsnXgKfQdmSjg5pscoRJHDb9k,https://gmgn.ai/sol/address/3QELEdPBiyzRVNh2bnKbsnXgKfQdmSjg5pscoRJHDb9k,,,,1,1,0.200,5,5,1.72,1,2026-05-07T05:08:19.000Z,2026-05-11T05:33:58.284Z,131302,0,4617.4405317291,0,0.000026510851132486276,gmgn,smart_degen,axiom,bundler|paper_hands|transfer_in,,
95,C,110.7,2nhqxaPjXQM7jmGP4pk4D5gXdmPtAbZGnNBGDcyqHS73,https://gmgn.ai/sol/address/2nhqxaPjXQM7jmGP4pk4D5gXdmPtAbZGnNBGDcyqHS73,,,,1,1,0.200,5,5,5,3.9,2026-05-08T06:17:14.000Z,2026-05-08T08:07:33.543Z,91917,0,-29.70545400467,0,0.00014712708946274818,gmgn,smart_degen,,,,
96,B,110.6,mh9XHevMtp3jpKx3nw4YwTcDYdWF2xUqk2johRAaSWs,https://gmgn.ai/sol/address/mh9XHevMtp3jpKx3nw4YwTcDYdWF2xUqk2johRAaSWs,,,,2,2,0.400,5,5,1.71,1,2026-05-10T20:45:40.000Z,2026-05-11T05:34:06.309Z,74240,0,2.48186991643,0,0.0002088112570329388,gmgn,smart_degen,axiom,bundler|paper_hands,,
97,C,110.5,4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9,https://gmgn.ai/sol/address/4vw54BmAogeRV3vPKWyFet5yf8DTLcREzdSzx4rw9Ud9,decu,notdecu,decu,1,1,0.500,2,2,0.68,1,2026-05-10T20:09:28.000Z,2026-05-11T05:34:06.311Z,28902,0,390.68576874385,0,0.00006538448382395842,gmgn|okx,renowned|kol,kol|axiom|photon|padre,bundler|paper_hands,,
