rank,tier,priority_score,wallet_address,gmgn_url,label,twitter_username,twitter_name,target_sightings,target_tokens,target_share,total_sightings,token_count,sightings_per_day,days_since_last_seen,last_target_seen_iso,last_seen_iso,avg_target_mcap,avg_target_amount_usd,pnl_usd,win_rate,pnl_fresh,pnl_age_days,pnl_snapshot_at_iso,avg_buy_usd,sources,tags,provider_tags,token_tags,manual_rating,manual_notes
168,C,81.9,HebCWRzLJ5p8vKahEMjFQvoZi8oap977agVLLswUodr8,https://gmgn.ai/sol/address/HebCWRzLJ5p8vKahEMjFQvoZi8oap977agVLLswUodr8,,,,1,1,0.333,3,3,2.86,0.1,2026-05-10T21:01:43.000Z,2026-05-12T06:42:34.185Z,28902,0,-3.26431405612,0,yes,0.1,2026-05-12T06:42:34.185Z,0.002237675178155713,gmgn,smart_degen,axiom,paper_hands|bundler,,
169,C,81.5,2xygiSjkrvpc4rNjpg6dzeBhk3wvQaaWRSMAK4x2Tyyn,https://gmgn.ai/sol/address/2xygiSjkrvpc4rNjpg6dzeBhk3wvQaaWRSMAK4x2Tyyn,,,,1,1,0.500,2,2,2,4,2026-05-07T13:39:35.000Z,2026-05-08T08:07:21.499Z,131302,0,677.44949410691,0,no,4,2026-05-08T08:07:21.499Z,0.00008608308185947129,gmgn,smart_degen,,,,
170,C,81.5,3oe7aYLUw2Pkbm7QMAhAjn5WbzaoG9tigkrX1mAecr1P,https://gmgn.ai/sol/address/3oe7aYLUw2Pkbm7QMAhAjn5WbzaoG9tigkrX1mAecr1P,,,,1,1,0.500,2,2,2,4,2026-05-07T17:20:41.000Z,2026-05-08T08:07:21.497Z,131302,0,-225.90070665794622,0,no,4,2026-05-08T08:07:21.497Z,0.00023312532675203078,gmgn,smart_degen,,,,
171,C,81.5,AsVTFhFYxFBUHLXXDKP1SYUnm5G5HAHoprxMYqfiMWT4,https://gmgn.ai/sol/address/AsVTFhFYxFBUHLXXDKP1SYUnm5G5HAHoprxMYqfiMWT4,,,,1,1,0.500,2,2,2,4,2026-05-07T03:38:49.000Z,2026-05-08T08:07:21.504Z,131302,5356,1325.3175585582687,0,no,4,2026-05-08T08:07:21.504Z,0.00035297814503339257,gmgn,smart_degen,,,,
172,C,81.5,B54xDTfSGDBDNdGmsQLA4d8Lxkz5CCwzm19S2maz3A8P,https://gmgn.ai/sol/address/B54xDTfSGDBDNdGmsQLA4d8Lxkz5CCwzm19S2maz3A8P,,,,1,1,0.500,2,2,2,4,2026-05-06T10:37:38.000Z,2026-05-08T08:07:27.489Z,139810,0,69.52366576647,0,no,4,2026-05-08T08:07:27.489Z,0.000016121996900222925,gmgn,smart_degen,,,,
173,C,81.5,DknQuSA3PvfcuNiF46mJDE4fX6HPNkJKXovRfkV2eqoR,https://gmgn.ai/sol/address/DknQuSA3PvfcuNiF46mJDE4fX6HPNkJKXovRfkV2eqoR,,,,1,1,0.500,2,2,2,4,2026-05-07T02:52:58.000Z,2026-05-08T08:07:29.508Z,131302,0,2327.317333538272,0,no,4,2026-05-08T08:07:29.508Z,0.002415333303488492,gmgn,smart_degen,,,,
174,C,81.5,FX2MjjFCMkKWupyCQR49gdtSwEpc7fpGJKkFX4J9hjfs,https://gmgn.ai/sol/address/FX2MjjFCMkKWupyCQR49gdtSwEpc7fpGJKkFX4J9hjfs,,,,1,1,0.500,2,2,2,4,2026-05-07T10:02:18.000Z,2026-05-08T08:07:25.466Z,25573,0,-102.22767077685,0,no,4,2026-05-08T08:07:25.466Z,0.0004568095022523564,gmgn,smart_degen,,,,
175,C,80.5,AdcmMagw4y7wYbux9TWRTLSDR8MLUp4ZbsMSHHquuMpg,https://gmgn.ai/sol/address/AdcmMagw4y7wYbux9TWRTLSDR8MLUp4ZbsMSHHquuMpg,,,,1,1,0.250,4,3,1.37,1.1,2026-05-08T05:47:31.000Z,2026-05-11T05:33:46.292Z,139810,0,3.55648982011,0,yes,1.1,2026-05-11T05:33:46.292Z,0.0023316917616690892,gmgn,smart_degen,,paper_hands,,
176,C,80.4,BtDaZUqHr2mKH5EYQCztuerHBuBEfQNYdquTDtEZp2Ym,https://gmgn.ai/sol/address/BtDaZUqHr2mKH5EYQCztuerHBuBEfQNYdquTDtEZp2Ym,,,,1,1,0.167,6,6,5.72,0.1,2026-05-10T15:34:59.000Z,2026-05-12T06:42:46.142Z,119579,0,0,0,yes,0.1,2026-05-12T06:42:46.142Z,0.00041836303070113753,gmgn,smart_degen,axiom|photon,bundler|paper_hands|transfer_in,,
177,C,80.3,bTiNAiDWsAzuDvqf1vGcv3GuvgLxVvaj76KABoqkJa6,https://gmgn.ai/sol/address/bTiNAiDWsAzuDvqf1vGcv3GuvgLxVvaj76KABoqkJa6,,,,1,1,0.333,3,3,3,1.1,2026-05-11T00:43:44.000Z,2026-05-11T05:34:06.310Z,28902,0,-349.45508611635,0,yes,1.1,2026-05-11T05:34:06.310Z,0.0000828911883897237,gmgn,smart_degen,axiom|padre,bundler|paper_hands,,
178,C,80,5ZuV8eqkvzYFVEKbLvGBdexL2tFv7E5BCd2HZpjqbdg,https://gmgn.ai/sol/address/5ZuV8eqkvzYFVEKbLvGBdexL2tFv7E5BCd2HZpjqbdg,,,,1,1,1.000,1,1,1,4,2026-05-08T07:53:37.000Z,2026-05-08T08:08:34.984Z,162730,0,2532.8417810798005,0.355932,no,4,2026-05-08T08:08:34.984Z,162.57432700201096,okx,kol,,,,
179,C,79.9,2g7ucyLawrQ9FZJv22xYZJwsY3DTLHxVnkEqXooUVWyt,https://gmgn.ai/sol/address/2g7ucyLawrQ9FZJv22xYZJwsY3DTLHxVnkEqXooUVWyt,,,,1,1,0.200,5,5,4.77,0.1,2026-05-10T05:18:07.000Z,2026-05-12T06:42:34.186Z,119579,0,-145.53456008118,0,yes,0.1,2026-05-12T06:42:34.186Z,0.00676778738534182,gmgn,smart_degen,axiom,bundler|paper_hands,,
180,C,79.3,77Uy6sLLggDg9ZB7Yu7xbtCShVTVvJsVNrPdyQFjLVD5,https://gmgn.ai/sol/address/77Uy6sLLggDg9ZB7Yu7xbtCShVTVvJsVNrPdyQFjLVD5,,,,1,1,0.143,7,6,6.68,0.1,2026-05-10T20:19:42.000Z,2026-05-12T06:42:46.142Z,28902,0,-9.59181438239,0,yes,0.1,2026-05-12T06:42:46.142Z,0.00025822814296005145,gmgn,smart_degen,axiom,bundler|paper_hands,,
181,C,78.6,CDL22EuTKoWeXpiStMWu9pLqLNSn5NkMG3nKoz1YRVUf,https://gmgn.ai/sol/address/CDL22EuTKoWeXpiStMWu9pLqLNSn5NkMG3nKoz1YRVUf,Thokani 🕊️,thokani,Thokani 🕊️,1,1,0.250,4,4,4,1.1,2026-05-10T20:15:30.000Z,2026-05-11T05:34:06.310Z,28902,0,-477.11309649672,0,yes,1.1,2026-05-11T05:34:06.310Z,0.00023593254316402074,gmgn,smart_degen,padre|fomo,bundler|paper_hands,,
182,C,78.6,Hb9SqR4DU79HbZ4EBRpfgFREvea6hxgScjxKvojzA3EV,https://gmgn.ai/sol/address/Hb9SqR4DU79HbZ4EBRpfgFREvea6hxgScjxKvojzA3EV,,,,1,1,0.250,4,4,4,1.1,2026-05-10T06:56:25.000Z,2026-05-11T05:33:50.226Z,119579,0,-6.21819933742,0,yes,1.1,2026-05-11T05:33:50.226Z,0.00011911037441408649,gmgn,smart_degen,fresh_wallet|axiom|padre,paper_hands|bundler,,
183,C,78.4,9DdgHe2XoJF2B95z6uGurSjsLqT9EzBzm6BUsDR6D2PJ,https://gmgn.ai/sol/address/9DdgHe2XoJF2B95z6uGurSjsLqT9EzBzm6BUsDR6D2PJ,,,,1,1,0.167,6,5,5.72,0.1,2026-05-10T06:23:01.000Z,2026-05-12T06:42:46.145Z,119579,0,-6.71678223359,0,yes,0.1,2026-05-12T06:42:46.145Z,0.00003391058511801131,gmgn,smart_degen,padre,bundler|paper_hands,,
184,C,76.5,6VHxuussrXXhN8jTwgpQ8oKv6ZbXxqNCj2HfY6sq5SaL,https://gmgn.ai/sol/address/6VHxuussrXXhN8jTwgpQ8oKv6ZbXxqNCj2HfY6sq5SaL,CryptoLucky🔶,sol_lucky_,CryptoLucky🔶,1,1,0.500,2,2,2,4,2026-05-08T05:08:13.000Z,2026-05-08T08:07:33.545Z,91917,0,-29.91988992616,0,no,4,2026-05-08T08:07:33.545Z,0.00007905984874460593,gmgn,renowned,kol|axiom|gmgn,paper_hands,,
185,C,76,2fnp6XUrJea36F4bGR7him4zS4Tg8FE17hgKgQWSuPP7,https://gmgn.ai/sol/address/2fnp6XUrJea36F4bGR7him4zS4Tg8FE17hgKgQWSuPP7,,,,1,1,0.333,3,3,3,4,2026-05-07T13:39:35.000Z,2026-05-08T08:07:21.504Z,131302,1818,666.42999456157,0,no,4,2026-05-08T08:07:21.504Z,0.00008679325532943845,gmgn,smart_degen,,,,
186,C,76,3gzApubkHv6bA9zvGiBoyRhe6RVY8N6QfehW5fcWinRD,https://gmgn.ai/sol/address/3gzApubkHv6bA9zvGiBoyRhe6RVY8N6QfehW5fcWinRD,,,,1,1,0.333,3,3,3,4,2026-05-07T21:35:26.000Z,2026-05-08T08:07:17.477Z,79098,0,-56.8575417518,0,no,4,2026-05-08T08:07:17.477Z,0.0002257719443653062,gmgn,smart_degen,,,,
187,C,76,47VviWP4qb2QzkZowgoCFmzrZN5RojgkV1A2VSJWiukE,https://gmgn.ai/sol/address/47VviWP4qb2QzkZowgoCFmzrZN5RojgkV1A2VSJWiukE,,,,1,1,0.333,3,3,3,4,2026-05-07T05:29:25.000Z,2026-05-08T08:07:29.509Z,139810,0,524.51530443392,0,no,4,2026-05-08T08:07:29.509Z,0.0018208907761181837,gmgn,smart_degen,,,,
188,C,76,4BRiPjfVeAehyxMw78Cw9Jsa8NMwy8TBgJ1RNMGcexpA,https://gmgn.ai/sol/address/4BRiPjfVeAehyxMw78Cw9Jsa8NMwy8TBgJ1RNMGcexpA,,,,1,1,0.333,3,3,3,4,2026-05-07T13:39:35.000Z,2026-05-08T08:07:21.502Z,131302,0,713.42793221143,0,no,4,2026-05-08T08:07:21.502Z,0.00008175204878711568,gmgn,smart_degen,,,,
189,C,76,8zws4rkYZGFX7G7uJ8x7WHFh5JLkSb5KePgwSVNkzsxu,https://gmgn.ai/sol/address/8zws4rkYZGFX7G7uJ8x7WHFh5JLkSb5KePgwSVNkzsxu,,,,1,1,0.333,3,3,3,4,2026-05-08T05:00:17.000Z,2026-05-08T08:07:33.544Z,91917,0,48.77812329043,0,no,4,2026-05-08T08:07:33.544Z,0.00003123898782233442,gmgn,smart_degen,,,,
190,C,76,9asBCQqp2o5BicHWPJZJ1RBh8hKQR76rejKgkQkzNwPy,https://gmgn.ai/sol/address/9asBCQqp2o5BicHWPJZJ1RBh8hKQR76rejKgkQkzNwPy,,,,1,1,0.333,3,3,3,4,2026-05-07T02:56:19.000Z,2026-05-08T08:07:21.504Z,131302,0,85.59863182311,0,no,4,2026-05-08T08:07:21.504Z,0.00023388528700460774,gmgn,smart_degen,,,,
